cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
66,2,0,26150.0,100000008493007100;100000005685783100,"2-node group, 0 seed(s), 26k KZT internal turnover; no dominant role pattern detected."
67,2,1,15000.0,100000006562026100;100000006831291100,"2-node group, 1 seed(s), 15k KZT internal turnover; no dominant role pattern detected."
68,2,0,110100.0,100000008736940100;100000008751429100,"2-node group, 0 seed(s), 110k KZT internal turnover; no dominant role pattern detected."
69,1,1,0.0,100000000456947100,Isolated known seed; no transfers observed in the export window.
70,1,1,0.0,100000003265658100,Isolated known seed; no transfers observed in the export window.
71,1,1,0.0,100000003349739100,Isolated known seed; no transfers observed in the export window.
72,1,1,0.0,100000003770083100,Isolated known seed; no transfers observed in the export window.
73,1,1,0.0,100000004021459100,Isolated known seed; no transfers observed in the export window.
74,1,1,0.0,100000004174835100,Isolated known seed; no transfers observed in the export window.
75,1,1,0.0,100000005017150100,Isolated known seed; no transfers observed in the export window.
76,1,1,0.0,100000005087431100,Isolated known seed; no transfers observed in the export window.
77,1,1,0.0,100000005235389100,Isolated known seed; no transfers observed in the export window.
78,1,1,0.0,100000005480435100,Isolated known seed; no transfers observed in the export window.
79,1,1,0.0,100000005495722100,Isolated known seed; no transfers observed in the export window.
80,1,1,0.0,100000005550592100,Isolated known seed; no transfers observed in the export window.
81,1,1,0.0,100000005560900100,Isolated known seed; no transfers observed in the export window.
82,1,1,0.0,100000005568407100,Isolated known seed; no transfers observed in the export window.
83,1,1,0.0,100000008117324100,Isolated known seed; no transfers observed in the export window.
84,1,1,0.0,100000008205000100,Isolated known seed; no transfers observed in the export window.
85,1,1,0.0,100000008513251100,Isolated known seed; no transfers observed in the export window.
86,1,1,0.0,100000008669037100,Isolated known seed; no transfers observed in the export window.
87,1,1,0.0,100000008701222100,Isolated known seed; no transfers observed in the export window.
