cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,209,1,20156784.24,100000002398779100;100000004299488100;100000007055802100;100000008244300100;100000008111003100,Signs of a collection hub: money from 1 seed(s) converges on consolidator 100000002398779100 (5% of internal turnover).
1,203,4,51424768.62,100000002718366100;100000001253557100;100000001303311100;100000001282143100;100000008547948100,"Possible control layer: 4 candidate upper-level node(s), money from 4 seed(s) converging; 100000002718366100 ranks highest."
2,177,7,24496075.56,100000004156082100;100000008144528100;100000006518161100;100000004948177100;100000008723830100,Signs of a collection hub: money from 7 seed(s) converges on consolidator 100000004156082100 (2% of internal turnover).
3,169,0,17312203.0,100000008686313100;100000004071080100;100000004759121100;100000008477350100;100000000437046100,Signs of a collection hub: money from 0 seed(s) converges on consolidator 100000008686313100 (11% of internal turnover).
4,137,0,30119987.1,100000008560717100;100000000331309100;100000006734214100;100000001330685100;100000008413748100,Signs of a collection hub: money from 0 seed(s) converges on consolidator 100000008560717100 (2% of internal turnover).
5,134,3,17372446.0,100000003115284100;100000008165763100;100000001072022100;100000008730846100;100000005432267100,"Possible control layer: 3 candidate upper-level node(s), money from 3 seed(s) converging; 100000003115284100 ranks highest."
6,112,0,4050628.0,100000002578405100;100000004292885100;100000001632325100;100000008712827100;100000008718811100,Pattern consistent with a distribution layer: 100000002578405100 fans out to 116 recipients across a 112-node group.
7,109,1,3259876.0,100000001952325100;100000008737422100;100000004792397100;100000006030946100;100000005877725100,Pattern consistent with a distribution layer: 100000001952325100 fans out to 0 recipients across a 109-node group.
8,96,3,10387390.0,100000004015047100;100000003111305100;100000001641789100;100000001904863100;100000002870463100,"Possible control layer: 1 candidate upper-level node(s), money from 3 seed(s) converging; 100000004015047100 ranks highest."
9,64,2,10817977.61,100000002838861100;100000002894076100;100000003158727100;100000006972210100;100000003831324100,Signs of a collection hub: money from 2 seed(s) converges on consolidator 100000002838861100 (5% of internal turnover).
10,56,0,3016149.67,100000007998965100;100000005578559100;100000005704413100;100000006707582100;100000001484381100,Signs of a collection hub: money from 0 seed(s) converges on consolidator 100000007998965100 (9% of internal turnover).
11,54,0,16858436.0,100000007442518100;100000002670860100;100000001584286100;100000002822472100;100000005242320100,Signs of a collection hub: money from 0 seed(s) converges on consolidator 100000007442518100 (3% of internal turnover).
12,53,1,2993313.0,100000003265158100;100000002679516100;100000002973903100;100000003781406100;100000001083990100,Pattern consistent with a distribution layer: 100000003265158100 fans out to 2 recipients across a 53-node group.
13,50,0,3167190.0,100000008346837100;100000004004621100;100000004847758100;100000003270419100;100000000489417100,Signs of a collection hub: money from 0 seed(s) converges on consolidator 100000008346837100 (8% of internal turnover).
14,50,5,7676042.53,100000001857829100;100000005133757100;100000003254723100;100000002779485100;100000003035737100,Signs of a collection hub: money from 5 seed(s) converges on consolidator 100000001857829100 (12% of internal turnover).
15,48,3,6458943.8,100000002957306100;100000001924185100;100000004105288100;100000002605548100;100000001463701100,Signs of a collection hub: money from 3 seed(s) converges on consolidator 100000002957306100 (6% of internal turnover).
16,45,0,9988188.84,100000002605308100;100000005933757100;100000004159526100;100000004456564100;100000005032294100,Pattern consistent with a distribution layer: 100000002605308100 fans out to 0 recipients across a 45-node group.
17,42,0,5438969.0,100000004351795100;100000003242289100;100000008221543100;100000003964910100;100000006225798100,Pattern consistent with a distribution layer: 100000004351795100 fans out to 14 recipients across a 42-node group.
18,42,0,4121910.0,100000002939838100;100000000629812100;100000003163886100;100000007777377100;100000007617808100,"42-node group, 0 seed(s), 4.1M KZT internal turnover; no dominant role pattern detected."
19,39,0,2090445.0,100000001697501100;100000008737958100;100000001166289100;100000002199091100;100000008772058100,Pattern consistent with a distribution layer: 100000001697501100 fans out to 38 recipients across a 39-node group.
20,35,1,7597620.0,100000007594394100;100000005778283100;100000005782781100;100000006274203100;100000003854444100,"Possible control layer: 1 candidate upper-level node(s), money from 1 seed(s) converging; 100000007594394100 ranks highest."
21,31,15,2414650.0,100000005799271100;100000008406609100;100000003809101100;100000001386612100;100000004403675100,"Possible control layer: 1 candidate upper-level node(s), money from 15 seed(s) converging; 100000005799271100 ranks highest."
22,23,0,5253717.0,100000002936322100;100000002459832100;100000006977207100;100000003171587100;100000008343874100,Pattern consistent with a distribution layer: 100000002936322100 fans out to 0 recipients across a 23-node group.
23,21,0,2707265.0,100000005519998100;100000003219438100;100000005932987100;100000004076740100;100000005767403100,"21-node group, 0 seed(s), 2.7M KZT internal turnover; no dominant role pattern detected."
24,18,0,3422800.0,100000003701161100;100000005974542100;100000001822623100;100000003824464100;100000008238989100,"18-node group, 0 seed(s), 3.4M KZT internal turnover; no dominant role pattern detected."
25,17,1,21586840.0,100000002224132100;100000004892144100;100000000552584100;100000005820746100;100000008383405100,Signs of a collection hub: money from 1 seed(s) converges on consolidator 100000002224132100 (18% of internal turnover).
26,15,0,850450.0,100000002472632100;100000002708624100;100000001526235100;100000005505655100;100000004445291100,"15-node group, 0 seed(s), 850k KZT internal turnover; no dominant role pattern detected."
27,15,0,3626010.0,100000006704530100;100000003122817100;100000002691583100;100000008461532100;100000001819396100,"15-node group, 0 seed(s), 3.6M KZT internal turnover; no dominant role pattern detected."
28,11,0,3784703.0,100000002710570100;100000003004487100;100000002975437100;100000002212494100;100000002175422100,"11-node group, 0 seed(s), 3.8M KZT internal turnover; no dominant role pattern detected."
29,11,0,1868224.0,100000001046057100;100000001379511100;100000008603331100;100000002671326100;100000002646887100,"11-node group, 0 seed(s), 1.9M KZT internal turnover; no dominant role pattern detected."
30,10,0,322010.0,100000000993112100;100000002691858100;100000008172352100;100000002628146100;100000002558173100,"10-node group, 0 seed(s), 322k KZT internal turnover; no dominant role pattern detected."
31,8,0,389000.0,100000005507142100;100000002214207100;100000004066370100;100000000600707100;100000002130400100,"8-node group, 0 seed(s), 389k KZT internal turnover; no dominant role pattern detected."
32,8,0,1293308.0,100000005182219100;100000005754335100;100000003888527100;100000008011159100;100000006573438100,"8-node group, 0 seed(s), 1.3M KZT internal turnover; no dominant role pattern detected."
33,7,0,143000.0,100000003962994100;100000005127767100;100000005911352100;100000002217806100;100000004549591100,"7-node group, 0 seed(s), 143k KZT internal turnover; no dominant role pattern detected."
34,7,0,776000.0,100000004144536100;100000003031890100;100000002257794100;100000002731501100;100000001330595100,"7-node group, 0 seed(s), 776k KZT internal turnover; no dominant role pattern detected."
35,7,0,1765600.0,100000007865484100;100000008551752100;100000003631015100;100000004976946100;100000005745873100,Group sits on the traversal frontier: 6 of 7 nodes were never expanded — onward flow unknown.
36,6,0,252813.0,100000004160650100;100000002886166100;100000003338583100;100000004007197100;100000000704700100,Pattern consistent with a distribution layer: 100000004160650100 fans out to 10 recipients across a 6-node group.
37,6,0,2540000.0,100000004479404100;100000002922000100;100000002659103100;100000001533161100;100000004717647100,Group sits on the traversal frontier: 4 of 6 nodes were never expanded — onward flow unknown.
38,6,1,275885.0,100000005895525100;100000002462183100;100000005056870100;100000007175718100;100000005807278100,"6-node group, 1 seed(s), 276k KZT internal turnover; no dominant role pattern detected."
39,5,0,1189154.0,100000000291908100;100000000291906100;100000004722630100;100000004691350100;100000004670388100,"5-node group, 0 seed(s), 1.2M KZT internal turnover; no dominant role pattern detected."
40,4,1,633140.0,100000005456919100;100000008193577100;100000000307908100;100000008659445100,"4-node group, 1 seed(s), 633k KZT internal turnover; no dominant role pattern detected."
41,4,1,1490200.0,100000007939160100;100000005183943100;100000007930878100;100000000580561100,"4-node group, 1 seed(s), 1.5M KZT internal turnover; no dominant role pattern detected."
42,4,1,175000.0,100000004463277100;100000005669845100;100000000703894100;100000006232815100,"4-node group, 1 seed(s), 175k KZT internal turnover; no dominant role pattern detected."
43,4,1,1404980.0,100000002459163100;100000000785800100;100000001872484100;100000008601794100,"4-node group, 1 seed(s), 1.4M KZT internal turnover; no dominant role pattern detected."
44,4,1,292000.0,100000003603979100;100000003616818100;100000004005964100;100000004007116100,"4-node group, 1 seed(s), 292k KZT internal turnover; no dominant role pattern detected."
45,3,1,450000.0,100000000769919100;100000002371751100;100000007018630100,"3-node group, 1 seed(s), 450k KZT internal turnover; no dominant role pattern detected."
46,3,0,163550.0,100000001380054100;100000005055454100;100000005077484100,"3-node group, 0 seed(s), 164k KZT internal turnover; no dominant role pattern detected."
47,3,1,450816.0,100000005034574100;100000007283257100;100000004388983100,"3-node group, 1 seed(s), 451k KZT internal turnover; no dominant role pattern detected."
48,3,1,570000.0,100000007507343100;100000004979498100;100000008571433100,"3-node group, 1 seed(s), 570k KZT internal turnover; no dominant role pattern detected."
49,3,1,33007.0,100000007347733100;100000008129393100;100000006249740100,"3-node group, 1 seed(s), 33k KZT internal turnover; no dominant role pattern detected."
50,2,0,34547.0,100000008745676100;100000000572276100,"2-node group, 0 seed(s), 35k KZT internal turnover; no dominant role pattern detected."
51,2,0,66666.0,100000004192865100;100000000607731100,"2-node group, 0 seed(s), 67k KZT internal turnover; no dominant role pattern detected."
52,2,0,6910.0,100000000955444100;100000003888271100,"2-node group, 0 seed(s), 7k KZT internal turnover; no dominant role pattern detected."
53,2,0,10000.0,100000000979567100;100000004739664100,"2-node group, 0 seed(s), 10k KZT internal turnover; no dominant role pattern detected."
54,2,0,596200.0,100000003164661100;100000001782980100,"2-node group, 0 seed(s), 596k KZT internal turnover; no dominant role pattern detected."
55,2,0,30000.0,100000001852140100;100000006888238100,"2-node group, 0 seed(s), 30k KZT internal turnover; no dominant role pattern detected."
56,2,0,213000.0,100000002214383100;100000003192309100,"2-node group, 0 seed(s), 213k KZT internal turnover; no dominant role pattern detected."
57,2,0,76950.0,100000008778010100;100000002214664100,"2-node group, 0 seed(s), 77k KZT internal turnover; no dominant role pattern detected."
58,2,0,325200.0,100000004135268100;100000002738256100,"2-node group, 0 seed(s), 325k KZT internal turnover; no dominant role pattern detected."
59,2,1,31050.0,100000003148220100;100000004971871100,"2-node group, 1 seed(s), 31k KZT internal turnover; no dominant role pattern detected."
60,2,1,30000.0,100000003980083100;100000003200071100,"2-node group, 1 seed(s), 30k KZT internal turnover; no dominant role pattern detected."
61,2,0,25000.0,100000003617552100;100000006734554100,"2-node group, 0 seed(s), 25k KZT internal turnover; no dominant role pattern detected."
62,2,1,81465.0,100000003865939100;100000005392290100,"2-node group, 1 seed(s), 81k KZT internal turnover; no dominant role pattern detected."
63,2,0,40000.0,100000004331458100;100000004094958100,"2-node group, 0 seed(s), 40k KZT internal turnover; no dominant role pattern detected."
64,2,1,19500.0,100000005363908100;100000008575624100,"2-node group, 1 seed(s), 20k KZT internal turnover; no dominant role pattern detected."
65,2,0,24300.0,100000005546031100;100000005547096100,"2-node group, 0 seed(s), 24k KZT internal turnover; no dominant role pattern detected."
